cell_id,celltype,x,y
elghdnaf-1,CXCL14+ Fibroblasts,4884.34033203125,1973.1524658203125
mgofaogm-1,CXCL14+ Fibroblasts,8944.1455078125,4564.76171875
cdcacfef-1,11q13 Invasive Tumor Cells,8493.2587890625,3693.171142578125
glldagpk-1,11q13 Invasive Tumor Cells,5162.7001953125,5232.47998046875
bpjpfjdl-1,T Lymphocytes,9394.349609375,4610.44189453125
mcabmmpd-1,11q13 Invasive Tumor Cells,8605.703125,4530.11328125
mlgcccpk-1,Basal-like Structured DCIS Cells,6729.69677734375,5418.40283203125
jhcdfmge-1,"CAFs, DCIS Associated",5824.3017578125,571.08251953125
eblmdacd-1,11q13 Invasive Tumor Cells,3727.892333984375,4276.66162109375
kojkjaag-1,11q13 Invasive Tumor Cells,8768.318359375,1994.93603515625
dhclijlj-1,11q13 Invasive Tumor Cells,3799.088134765625,2444.825439453125
ijdjdpie-1,11q13 Invasive Tumor Cells,5582.322265625,3384.8173828125
djafghje-1,Dendritic Cells,3513.62890625,2409.432861328125
mkbpipgn-1,11q13 Invasive Tumor Cells,7342.36474609375,4894.37353515625
efglpfnh-1,Dendritic Cells,4051.270751953125,3581.220947265625
hcagjdan-1,11q13 Invasive Tumor Cells,3406.94482421875,4701.6513671875
gemijgkf-1,"CAFs, DCIS Associated",2099.199462890625,4707.5537109375
keoepbee-1,Macrophages,9462.2421875,2672.75390625
fjaonhcm-1,Macrophages,3273.769775390625,1159.92333984375
ednflljm-1,11q13 Invasive Tumor Cells,3331.25634765625,3966.805419921875
flaoggjd-1,Luminal-like Amorphous DCIS Cells,4388.5751953125,957.5020751953124
nfgjkigi-1,Basal-like Structured DCIS Cells,7253.16015625,4420.556640625
fdbcfejl-1,11q13 Invasive Tumor Cells,4902.947265625,3985.80029296875
ihfpicde-1,"CAFs, DCIS Associated",194.34503173828125,3855.52001953125
mdigmbll-1,11q13 Invasive Tumor Cells,9100.9150390625,4529.65771484375
kcekhecm-1,CXCL14+ Fibroblasts,9567.7451171875,2223.341552734375
noidlgha-1,Pericytes,6159.3251953125,4768.0048828125
fdlokgnh-1,11q13 Invasive Tumor Cells,4689.8955078125,4360.67724609375
jjopeiio-1,11q13 Invasive Tumor Cells,6022.85791015625,1335.906494140625
