example_gene,point_type,celltype,target_celltype,x,y,center_x,center_y
CCND1,uRNA,,11q13 Invasive Tumor Cells,9723.421875,2592.109375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9664.25,2840.90625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9095.234375,2878.875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9594.28125,2763.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9657.125,3090.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9669.0,3043.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9097.109375,2896.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9088.046875,2991.6875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9154.671875,2951.203125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9211.8125,2908.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9082.984375,3037.046875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9525.8125,2394.921875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9610.375,2444.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9007.921875,3011.015625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9731.015625,2430.3125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9095.171875,2875.671875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9412.125,2470.3125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9268.421875,3014.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9198.46875,2940.9375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9639.84375,2325.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9229.0,3069.59375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9673.5,2948.71875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9325.921875,3047.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9634.96875,2346.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9078.015625,3086.859375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9164.3125,2961.46875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9633.875,2344.625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9611.34375,2814.0,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9473.109375,2282.796875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9399.40625,2472.8125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9795.265625,3081.34375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9122.046875,2900.796875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9448.796875,2365.5,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9302.25,3022.234375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9294.921875,3087.28125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9616.125,2796.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9180.328125,3013.8125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9231.046875,2927.40625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9123.359375,3103.890625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9267.0625,3118.5,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9776.15625,3115.3125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9791.765625,2426.765625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9134.765625,2941.328125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9199.515625,2877.125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9182.65625,3045.5,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9644.484375,2797.515625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9037.390625,2981.703125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9422.578125,2485.265625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9139.09375,3027.484375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9070.171875,3026.640625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9422.453125,2291.828125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9406.609375,2487.859375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9130.53125,2897.5625,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9522.734375,2966.171875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9646.078125,2919.3125,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9540.328125,2945.546875,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9494.875,3025.4375,9430.09375,2704.296875
CCND1,uRNA,,11q13 Invasive Tumor Cells,9092.046875,2986.078125,9430.09375,2704.296875
