gene,marker_group,unassigned_count,assigned_count,unassigned_fraction,urna_best_cluster,urna_best_sss,urna_best_module,full_best_cluster,full_best_sss,best_cluster_match,sss_spearman_vs_full,urna_module_mean_Tumor,urna_module_mean_Vascular/Stromal,urna_module_mean_Immune,urna_module_mean_Rare epithelial
FTH1,,136127,319416,0.2988236017236572,Basal-like Structured DCIS Cells,0.10272656989277074,Tumor,Basal-like Structured DCIS Cells,0.0949827775049829,True,1.0,0.27968900599505786,0.4869380136273895,0.34769088361609296,0.7009088566309236
RAB7A,,133342,368776,0.2655590916876112,Macrophages,0.1266214621077786,Immune,Basal-like Structured DCIS Cells,0.0989869621009506,False,0.15835612442790561,0.38759187120049365,0.3474786764652763,0.27006874344492404,0.6261562442434885
MARCKS,,129135,305442,0.2971510227186436,Macrophages,0.09099549886464953,Immune,Basal-like Structured DCIS Cells,0.0926954693142736,False,0.1579260028790722,0.38911489786266923,0.33603747267430945,0.2641279587474475,0.6257489184950834
MAGED2,,126640,459510,0.2160539111149023,CXCL14+ Fibroblasts,0.11603857356593138,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1593401205825632,False,0.22606269092359826,0.5000845842501417,0.2161973951188926,0.3448259030095744,0.8333615280833806
PRKAR1A,,125685,370996,0.253049744202013,Macrophages,0.12598356586359988,Immune,Basal-like Structured DCIS Cells,0.0912052667952091,False,0.1579260028790722,0.389503328083931,0.3372928881159959,0.27022666727949346,0.6264975360852898
TFF3,,121339,503755,0.1941132053739117,Basal-like Structured DCIS Cells,0.11639903355123869,Tumor,Basal-like Structured DCIS Cells,0.136773587788676,True,1.0,0.26509533078770725,0.49401646274505673,0.3581030349072515,0.7054663445170796
MLPH,,115562,567891,0.169085511366546,Basal-like Structured DCIS Cells,0.14088195291286176,Immune,Basal-like Structured DCIS Cells,0.1066696340824598,True,0.6490406876192876,0.3880000960655525,0.4033046240050366,0.2763599746547309,0.5873787713345442
HNRNPF,,114191,410013,0.2178369489740635,Basal-like Structured DCIS Cells,0.10249611707401365,Tumor,Basal-like Structured DCIS Cells,0.1083926760940862,True,1.0,0.2781304393077505,0.48780688244884446,0.3497325628385758,0.7008320390246712
UFC1,,114186,376078,0.2329071683827488,Basal-like Structured DCIS Cells,0.10542005861341748,Tumor,Basal-like Structured DCIS Cells,0.1321727268508116,True,1.0,0.270282247195933,0.4908027889218382,0.35147071065625674,0.7018066862044724
FRS2,,113239,396661,0.2220808001568935,CXCL14+ Fibroblasts,0.17152788584164497,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1113620721098959,False,-0.282546184601846,0.48644912459762457,0.2547873401324017,0.34377694621438476,0.8288163748658749
EID1,,112954,290989,0.2796285614554529,Macrophages,0.1165697334076675,Immune,Basal-like Structured DCIS Cells,0.0931429468712002,False,0.1579260028790722,0.39045327577687294,0.33377572066461964,0.26861873533646324,0.6265070042564119
DAP,,111558,326050,0.2549267837882306,Macrophages,0.14665099310954122,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1046930824449615,False,0.22606269092359826,0.4874364072623031,0.2408504832917074,0.33936661652429984,0.8291454690874344
SPTAN1,,110025,368957,0.2297059179676898,CXCL14+ Fibroblasts,0.1228082118688058,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1012695615292314,False,-0.2817354334769128,0.4893135096994681,0.22352353796428828,0.33935241217355416,0.8297711698998227
CCT2,,107108,387174,0.2166941138864049,Basal-like Structured DCIS Cells,0.13871295654064414,Immune,Basal-like Structured DCIS Cells,0.1014571153874694,True,0.6490406876192876,0.38809722157713006,0.4032300522989896,0.2756412842906136,0.5865988852296372
ANXA2,,105731,315148,0.2512147196700239,CXCL14+ Fibroblasts,0.1325421410925293,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1072514152079133,False,0.22606269092359826,0.4892958716787554,0.22958690742414847,0.3401324438333808,0.829765290559585
ECE1,,105380,520011,0.1685025847829598,Basal-like Structured DCIS Cells,0.12391163497959225,Immune,Basal-like Structured DCIS Cells,0.1006389593393367,True,0.6490406876192876,0.3860795953331646,0.4041361070770938,0.2726175225391329,0.5819050545989547
SPTBN1,,104197,265402,0.2819190528112901,CXCL14+ Fibroblasts,0.10659556929792958,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1013095466100633,False,-0.2817354334769128,0.48977159483627936,0.2133494617298389,0.33838119649725845,0.8299238649454265
TNFSF10,,101300,482942,0.1733870553640443,Basal-like Structured DCIS Cells,0.11370641180900062,Tumor,Basal-like Structured DCIS Cells,0.1361948439475132,True,1.0,0.27731881444945305,0.4885315715813771,0.35191078587830055,0.7045688039363336
APP,,100648,305856,0.2475941196150591,CXCL14+ Fibroblasts,0.10877476249012435,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1138465572614516,False,0.22606269092359826,0.491702899901976,0.21391668094841246,0.3399540509886346,0.8305676333006587
ZNF91,,99675,327737,0.2332058996939721,Basal-like Structured DCIS Cells,0.10749713753582148,Immune,Basal-like Structured DCIS Cells,0.0972603179013938,True,0.6490406876192876,0.38425600311250513,0.40644227242621705,0.2731151977324179,0.5766657792035284
SRP9,,99420,314374,0.2402644794269612,Basal-like Structured DCIS Cells,0.11674982114467411,Immune,Basal-like Structured DCIS Cells,0.0968697264776697,True,0.6490406876192876,0.3849975599577225,0.4047768008984171,0.2709320902814751,0.5796567218447588
TPT1,,99084,164070,0.3765247725666339,CXCL14+ Fibroblasts,0.09111773369570156,Vascular/Stromal,Macrophages,0.1416607034901623,False,0.988538681948424,0.4923295350339697,0.20284229592196756,0.3389740315460357,0.8307765116779899
CSDE1,,96461,240220,0.2865056240179873,CXCL14+ Fibroblasts,0.11752497790864848,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1113656503473565,False,0.22606269092359826,0.4906683141656497,0.2196348108784763,0.33985219382162474,0.8302227713885499
HIPK3,,96105,208457,0.3155515133207688,CXCL14+ Fibroblasts,0.08037260968462696,Vascular/Stromal,Macrophages,0.1251923863229685,False,0.988538681948424,0.4934454811241713,0.19595063551507574,0.33904570448352583,0.831148493708057
UGDH,,95033,374450,0.2024205349288472,CXCL14+ Fibroblasts,0.13902715775317193,Vascular/Stromal,Basal-like Structured DCIS Cells,0.119103035086957,False,0.22606269092359826,0.49140361862041,0.2331736171499778,0.3419277723620048,0.83046787287347
CDH1,,92953,444560,0.1729316314210074,Basal-like Structured DCIS Cells,0.11059226853576788,Tumor,Basal-like Structured DCIS Cells,0.1517779669593232,True,1.0,0.2644791500524585,0.49375550492532827,0.3567052846922005,0.7035307561785893
IL6ST,,92909,285781,0.2453431566716839,CXCL14+ Fibroblasts,0.06601591027172105,Vascular/Stromal,Macrophages,0.1422869731401211,False,0.9871254736748173,0.4987939180597965,0.18941637902245187,0.34180580948945477,0.8329313060199323
MED13,,92268,337690,0.2145977048921057,Basal-like Structured DCIS Cells,0.12479724086820833,Immune,Basal-like Structured DCIS Cells,0.0989265813137176,True,0.6490406876192876,0.3862016711072045,0.4041076314422415,0.27277573337016553,0.5821808507492382
CMPK1,,92208,267061,0.2566544845227392,Basal-like Structured DCIS Cells,0.1271992598902683,Immune,Basal-like Structured DCIS Cells,0.092952089339899,True,0.6490406876192876,0.38706682665276543,0.4022718815233922,0.26941418074537804,0.5828973103815788
EIF4G2,,90931,290829,0.2381889145012573,Basal-like Structured DCIS Cells,0.11157881122686643,Immune,Basal-like Structured DCIS Cells,0.092247735391985,True,0.6490406876192876,0.3846353858293139,0.40461316339202924,0.2683498584907242,0.5779587957347989
GRB2,,90594,303402,0.2299363445314165,Basal-like Structured DCIS Cells,0.13814053493740902,Immune,Basal-like Structured DCIS Cells,0.0998600800039826,True,0.6490406876192876,0.3883090164408538,0.4019512480425539,0.2726952564448769,0.5863677555827255
PREX1,,89982,354807,0.202302664859068,CXCL14+ Fibroblasts,0.13871726607729587,Vascular/Stromal,CXCL14+ Fibroblasts,0.1400286812711671,True,0.9999999999999999,0.5072175627072751,0.22799739211842743,0.34951879493371196,0.8357391875690917
CERS2,,89974,409436,0.1801605894956048,Basal-like Structured DCIS Cells,0.10842131897115022,Tumor,Basal-like Structured DCIS Cells,0.1128901670860083,True,1.0,0.2789034477380339,0.48825931267097167,0.35336227796742603,0.7028071063237168
BRMS1,,89099,343343,0.2060368789340536,11q13 Invasive Tumor Cells,0.13932676281692882,Tumor,11q13 Invasive Tumor Cells,0.0402045377447078,True,0.9955257046261682,0.13932676281692882,0.500144052718978,0.39591894632577646,0.7523173792671692
IRF2BP2,,88627,292339,0.2326375582072941,Macrophages,0.1400761653133613,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0998054322747923,False,-0.2817354334769128,0.4847440463207535,0.2457462651876099,0.3381529606063277,0.8282480154402512
SELENOF,,88169,265728,0.2491374608996402,CXCL14+ Fibroblasts,0.12991048520791873,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0978936349160035,False,-0.2817354334769128,0.48822573631459504,0.22813425190063694,0.33918744440767584,0.8294085787715316
CIRBP,,87857,330015,0.2102485928705441,CXCL14+ Fibroblasts,0.0889849840888769,Vascular/Stromal,CXCL14+ Fibroblasts,0.1371467711115654,True,0.9980897803247372,0.5037328016085248,0.19763822124770367,0.344882240703779,0.8345776005361749
ELP2,,87701,438980,0.16651635430175,Basal-like Structured DCIS Cells,0.09877678144176519,Tumor,Basal-like Structured DCIS Cells,0.133766415218664,True,1.0,0.27036974450492124,0.4911086826628058,0.3527238067103008,0.6995922604805883
COL3A1,,87095,97926,0.4707303495278914,Dendritic Cells,0.05519846371400669,Tumor,Dendritic Cells,0.0631446704202051,True,0.9999999999999998,0.25847775201024303,0.49564659221443097,0.3252104236363703,0.7237562085432773
PKM,,86782,310287,0.2185564725526294,Basal-like Structured DCIS Cells,0.09909500025799212,Tumor,Basal-like Structured DCIS Cells,0.1066323983760205,True,1.0,0.27534445021029785,0.48897957428383887,0.35053205865925874,0.6996983334193306
ACTN4,,86171,274265,0.2390743432953423,CXCL14+ Fibroblasts,0.11683411755127492,Vascular/Stromal,Basal-like Structured DCIS Cells,0.1072568386020144,False,0.22606269092359826,0.4902236636721441,0.21942976195080505,0.3395525617635263,0.8300745545573814
SCARB2,,86120,310597,0.2170816980366356,Macrophages,0.1363065528176013,Vascular/Stromal,Basal-like Structured DCIS Cells,0.0970000510232376,False,-0.2817354334769128,0.4862088986803493,0.24124496449097568,0.3375077569231063,0.8287362995601164
VAV3,,85959,391605,0.1799947232203432,Basal-like Structured DCIS Cells,0.15161296097886817,Tumor,11q13 Invasive Tumor Cells,0.0553512568275851,False,0.8653760231111451,0.2502132271766132,0.4991498969544538,0.3632019629722283,0.7172043203262893
PSAP,,85571,240075,0.2627730726003083,Macrophages,0.12237070589730129,Immune,Basal-like Structured DCIS Cells,0.096485979462754,False,0.763653004934904,0.3901833846090831,0.33529876925092106,0.26932476095196023,0.6263046235661864
